Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site
93M033-8,,,1989,Skeena_Offsite,,Operational,55.33124,-127.56596,697,45,250,,ICHmc2,ICHmc2/03,,,,,,,,May,Dispersed tree plot
93M033-9,,,1989,Skeena_Offsite,,Operational,55.33297,-127.57175,575,40,265,,ICHmc2,ICHmc2/01,,,,,,,,May,Dispersed tree plot
93M042-29,,,1992,Skeena_Offsite,,Operational,55.40914,-127.70159,306,0,999,,ICHmc2,ICHmc2/53,,,,,,,,June,"Did a prism sweep for the Pl overstory and a 3.99m radius plot for the understory Fd(Sx,Pl).  Only trees >1.3 m were measured. "
93M052-28,,,1989,Skeena_Offsite,,Operational,55.51593,-127.73379,432,5,130,,ICHmc2,ICHmc2/01,,,,,,,,May,transitional to SBSdw3
Fdc-10,,,1982,Skeena_Offsite,,Operational,54.29379,-128.50079,227,3,999,,CWHws1,CWHws1/02,,,,,,,,May,Dispersed tree plot
Fdc-13,,,1982,Skeena_Offsite,,Operational,54.2656,-128.81303,348,45,155,,CWHws1,CWHws1/01,,,,,,,,May,transitional to mc2
Fdc-7,,,1960,Skeena_Offsite,,Operational,54.72796,-128.85074,293,35,230,,CWHws1,CWHws1/04,,,,,,,,May,transitional to mc2
Fdi-10,,,1962,Skeena_Offsite,,Operational,54.17801,-125.43723,853,20,200,,SBSdk,SBSdk/01,,,,,,,,May,
Fdi-12,,,1963,Skeena_Offsite,,Operational,54.1869,-125.44651,960,10,225,,SBSdk,SBSdk/03,,,,,,,,May,also known as EP973.03. site series 03 tending to 01 all trees
Fdi-18,,,1963,Skeena_Offsite,,Operational,54.19529,-125.43512,933,3,200,,SBSdk,SBSdk/03,,,,,,,,October,also known as EP973.03. site series 01 tending to 03 all trees.
Fdi-19,,,1964,Skeena_Offsite,,Operational,54.18021,-125.43345,898,15,150,,SBSdK,SBSdK/01,,,,,,,,May,some spots are site series 01 rather than 03
Fdi-2,,,1957,Skeena_Offsite,,Operational,54.77175,-126.82462,1060,48,220,,SBSmc2,SBSmc2/05,,,,,,,,October,03  tending to 01
Fdi-21,,,1964,Skeena_Offsite,,Operational,54.17926,-125.43301,884,,,,SBSdk,SBSdk/01,,,,,,,,October,Dispersed tree plot.  Probably two different planting dates with 8580 planted much earlier and then 8492 used in fill plant.
Fdi-22,,,1964,Skeena_Offsite,,Operational,54.17964,-125.43548,882,50,200,,SBSdk,SBSdk/04,,,,,,,,October,
Fdi-24,,,1966,Skeena_Offsite,,Operational,54.5156,-126.51275,852,8,80,,SBSdk,SBSdk/01,,,,,,,,May,
Fdi-25,,,1966,Skeena_Offsite,,Operational,54.28074,-125.21255,890,50,200,,SBSdk,SBSdk/04,,,,,,,,June,
Fdi-27,,,1980,Skeena_Offsite,,Operational,53.83325,-126.92941,988,25,140,,SBSmc2,SBSmc2/06,,,,,,,,,
Fdi28,,,1980,Skeena_Offsite,,Operational,53.83032,-126.84023,961,20,999,,SBSmc2,SBSmc2/01,,,,,,,,,
Fdi-29,,,1980,Skeena_Offsite,,Operational,53.87794,-126.84869,1005,5,220,,SBSmc2,,,,,,,,,,
Fdi-3,,,1958,Skeena_Offsite,,Operational,54.72089,-128.83841,248,10,83,,CWHws1,CWHws1/01,,,,,,,,October,
Fdi-30a,,,1980,Skeena_Offsite,,Operational,53.60554,-125.56045,990,20,180,,SBSdk,SBSdk/03,,,,,,,,,
Fdi-30b,,,1980,Skeena_Offsite,,Operational,53.60459,-125.5525,1030,30,245,,SBSdk,SBSdk/01,,,,,,,,,Licensees destroyed most trees because they were worried about Adelges cooleyii
Fdi-31a,,,1980,Skeena_Offsite,,Operational,53.61797,-125.69922,1031,4,164,,SBSdk,SBSdk/01,,,,,,,,,Dispersed tree plot
Fdi-31b,,,1980,Skeena_Offsite,,Operational,53.61715,-125.68642,1025,10,280,,SBSdk,SBSdk/01,,,,,,,,,Dispersed tree plot.  Pouring rain all day and a 13km hike in through alder covered roads.  All electronic equipment failed and so heights estimated.
Fdi-31c,,,1980,Skeena_Offsite,,Operational,53.62114,-125.6785,1095,3,200,,SBSmc2,SBSmc2/01,,,,,,,,,aspect  and slope variable
Fdi-32Blk2,,,1983,Skeena_Offsite,,Operational,54.2991,-125.4663,1074,3,140,,SBSmc2,SBSmc2/03,,,,,,,,May,aspect  and slope variable
Fdi-32Blk5,,,1983,Skeena_Offsite,,Operational,54.32799,-125.52386,1005,2,80,,SBSmc2,SBSmc2/01,,,,,,,,May,Plantation 6735 or 6114
Fdi-32Blk6,,,1983,Skeena_Offsite,,Operational,54.32599,-125.52466,960,5,40,,SBSmc2,SBSmc2/01,,,,,,,,May,
Fdi-4,,,1958,Skeena_Offsite,,Operational,54.72248,-128.8412,250,10,222,,CWHws1,CWHws1/01,,,,,,,,October,Plantation 6801
Fdi-5,,,1959,Skeena_Offsite,,Operational,54.76905,-128.82713,248,0,999,,CWHws1,CWHws1/01,,,,,,,,May,Plantation 6801
Fdi-6,,,1959,Skeena_Offsite,,Operational,54.78572,-126.12472,765,5,320,,SBSmc2,SBSmc2/06,,,,,,,,,
Lw- 11,,,1982,Skeena_Offsite,,Operational,54.93898,-127.58494,706,2,250,,ICHmc2,ICHmc2/03,,,,,,,,July,Chist Creek
Lw-10(a),,,1980,Skeena_Offsite,,Operational,53.62114,-125.6785,1100,3,200,,SBSmc2,SBSmc2/01,,,,,,,,,
Lw-10(b),,,1980,Skeena_Offsite,,Operational,53.61707,-125.68651,1022,15,280,,SBSmc2,SBSmc2/01,,,,,,,,,
Lw-12,,,1982,Skeena_Offsite,,Operational,54.97016,-126.76878,965,5,40,,SBSmc2,SBSmc2/05,,,,,,,,July,Trans to SBSmc2
Lw1a,,,1967,Skeena_Offsite,,Operational,54.70792,-128.79793,164,5,999,,CWHws1,CWHws1/04,,,,,,,,October,
Lw1b,,,1967,Skeena_Offsite,,Operational,54.70821,-128.79706,150,5,999,,CWHws1,CWHws1/04,,,,,,,,October,"trans to mc2, same as Fdi30a"
Lw2a,,,1968,Skeena_Offsite,,Operational,54.7075,-128.79965,150,2,999,,CWHws1,CWHws1/04,,,,,,,,April,"trans to mc2, same as Fdi30b"
Lw2b,,,1968,Skeena_Offsite,,Operational,54.70823,-128.80095,150,2,999,,CWHws1,CWHws1/04,,,,,,,,April,same as Fdi 31c
Lw3,,,1967,Skeena_Offsite,,Operational,54.30722,-128.50334,308,50,270,,CWHws1,CWHws1/04,,,,,,,,June,same as Fdi 31b
Lw4,,,1980,Skeena_Offsite,,Operational,54.32648,-128.48763,466,60,20,,CWHws1,CWHws1/04,,,,,,,,,
Lw5,,,1980,Skeena_Offsite,,Operational,54.30257,-128.4637,336,45,190,,CWHws1,CWHws1/01,,,,,,,,,
Lw7,,,1981,Skeena_Offsite,,Operational,54.01582,-127.2548,996,10,140,,SBSmc2,SBSmc2/01,,,,,,,,May,
Lw-8,,,1981,Skeena_Offsite,,Operational,54.479611,-126.853472,640,35,28,,SBSdK,SBSdK/06,,,,,,,,May,01 tending to 09
Lw-9(a),,,1980,Skeena_Offsite,,Operational,53.60554,-125.56045,990,15,180,,SBSdk,SBSdk/03,,,,,,,,,
Lw-9(b),,,1980,Skeena_Offsite,,Operational,53.60444,-125.5527,1020,35,225,,SBSdk,SBSdk/01,,,,,,,,,01 tending to 02
EP1392-BARN,Barnhartvale,,2009,AMAT,1392.09,Research,50.65286,-120.14222,550,,,,PPxh2,,,,,,,,,,
EP1392-BULL,Bulldog,,2010,AMAT,1392.23,Research,49.28256,-118.02439,1520,,,,ESSFdc1,,,,,,,,,,
EP1392-CHUR,Churn Creek,,2010,AMAT,1392.18,Research,51.33472,-122.57277,1620,,,,MSxv,,,,,,,,,,
EP1392-CRAN,Cranbrook,,2009,AMAT,1392.07,Research,49.55778,-115.64333,820,,,,PPdh2,,,,,,,,,,
EP1392-DEEP,Deep Creek,,2009,AMAT,1392.04,Research,50.55889,-119.28278,1130,,,,IDFmw1,,,,,,,,,,
EP1392-FLET,Fletcher  Lake,,2010,AMAT,1392.22,Research,51.77978,-123.04494,1145,,,,IDFdk4,,,,,,,,,,
EP1392-FNEL,Fort Nelson,,2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,,BWBSmk,,,,,,,,,,
EP1392-FORH,Forest Hill CA,,2011,AMAT,1392.34,Research,39.09182,-120.73151,1280,,,,.,,,,,,,,,,
EP1392-FSJN,Ft St John,,2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,,BWBSmw1,,,,,,,,,,
EP1392-GAVN,Gavin Lake,,2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,,ICHmk3,,,,,,,,,,
EP1392-GLEN,Glenmerry,,2010,AMAT,1392.14,Research,49.20444,-117.96889,1460,,,,ICHmw2,,,,,,,,,,
EP1392-GOLD,Golden,,2012,AMAT,1392.41,Research,51.8025,-117.71028,840,,,,ICHmw1,,,,,,,,,,
EP1392-HAIN,Haines,,2012,AMAT,1392.42,Research,59.42233,-136.25567,183,,,,.,,,,,,,,,,
EP1392-HIGH,High Level,,2012,AMAT,1392.48,Research,59.1419,-117.5677,334,,,,.,,,,,,,,,,
EP1392-HOLB,Holberg,,2012,AMAT,1392.44,Research,50.58778,-127.87778,165,,,,CWHvm1,,,,,,,,,,
EP1392-KALA,Kalamalka,,2009,AMAT,1392.06,Research,50.24444,-119.2775,480,,,,IDFxh1,,,,,,,,,,
EP1392-KITI,Kitimat,,2010,AMAT,1392.19,Research,53.805,-128.68972,130,,,,CWHvm,,,,,,,,,,
EP1392-KITS,Kitsumkalum,,2011,AMAT,1392.29,Research,54.60483,-128.72725,228,,,,CWHws1,,,,,,,,,,
EP1392-LADY,Ladybird,,2010,AMAT,1392.24,Research,49.469,-117.853,1675,,,,ESSFwc,,,,,,,,,,
EP1392-LIKE,Likely,,2009,AMAT,1392.12,Research,52.57417,-121.84361,952,,,,SBSdw1,,,,,,,,,,
EP1392-LOON,Loon Lake,,2009,AMAT,1392.02,Research,49.92786,-120.35783,1495,,,,MSxk1,,,,,,,,,,
EP1392-LYMN,Lyman Springs CA,,2011,AMAT,1392.31,Research,40.30186,-121.76069,1090,,,,.,,,,,,,,,,
EP1392-LYNX,Lynx Creek,,2009,AMAT,1392.11,Research,49.16431,-120.4625,1631,,,,ESSFdc2,,,,,,,,,,
EP1392-MACN,Mackenzie North,,2011,AMAT,1392.28,Research,55.46556,-123.28436,688,,,,SBSmk2,,,,,,,,,,
EP1392-MACS,Mackenzie South Hwy39,,2011,AMAT,1392.3,Research,55.25278,-123.09342,705,,,,SBSmk1,,,,,,,,,,
EP1392-MCLE,McLeese Lake,,2010,AMAT,1392.16,Research,52.4925,-122.14028,950,,,,SBSdw2,,,,,,,,,,
EP1392-MCLR,McLure,,2012,AMAT,1392.45,Research,51.00025,-120.17844,814,,,,IDFxh2,,,,,,,,,,
EP1392-MEND,Mendocino NF CA,,2011,AMAT,1392.33,Research,39.485,-122.78333,1554,,,,.,,,,,,,,,,
EP1392-MKRF,Malcolm Knapp,,2010,AMAT,1392.17,Research,49.33389,-122.53611,420,,,,CWHvm1,,,,,,,,,,
EP1392-MTSH,Mt St Helen WA,,2009,AMAT,1392.13,Research,46.27593,-122.65059,259,,,,.,,,,,,,,,,
EP1392-NITI,Nitinat,,2012,AMAT,1392.46,Research,48.85833,-124.75667,257,,,,CWHvm1,,,,,,,,,,
EP1392-PARK,Parksville,,2010,AMAT,1392.21,Research,49.24694,-124.43889,220,,,,CWHxm1,,,,,,,,,,
EP1392-PGTI,PGTIS,,2011,AMAT,1392.26,Research,53.76639,-122.71861,600,,,,SBSmh,,,,,,,,,,
EP1392-PLAC,Placer Mountain,,2009,AMAT,1392.01,Research,49.13772,-120.37286,2003,,,,ESSFxc1,,,,,,,,,,
EP1392-PORT,Port Alberni,,2010,AMAT,1392.15,Research,49.42667,-125.04222,320,,,,CWHxm2,,,,,,,,,,
EP1392-PREF,Priest River,,2012,AMAT,1392.39,Research,48.35,-116.6833,1143,,,,.,,,,,,,,,,
EP1392-REVN,Revelstoke North,,2012,AMAT,1392.47,Research,51.46368,-118.40549,1640,,,,ESSFvc,,,,,,,,,,
EP1392-REVS,Revelstoke South,,2011,AMAT,1392.36,Research,50.75892,-117.96769,670,,,,ICHmw2,,,,,,,,,,
EP1392-RISK,Riske Creek,,2009,AMAT,1392.05,Research,52.01028,-122.72722,1420,,,,SBPSmk,,,,,,,,,,
EP1392-SIST,Sisters OR,,2011,AMAT,1392.35,Research,44.55381,-121.6715,962,,,,.,,,,,,,,,,
EP1392-SKIM,Skimikin,,2012,AMAT,1392.43,Research,50.80506,-119.40489,620,,,,IDFmw2,,,,,,,,,,
EP1392-SPIL,Spillimacheen,,2009,AMAT,1392.08,Research,50.91833,-116.49039,910,,,,IDFdk5,,,,,,,,,,
EP1392-SPIR,Spirit Lake,,2012,AMAT,1392.4,Research,47.91907,-117.01198,823,,,,.,,,,,,,,,,
EP1392-SRMP,Shrimpton,,2009,AMAT,1392.1,Research,49.82833,-120.44917,1365,,,,IDFdk1,,,,,,,,,,
EP1392-STRO,Strouse Lake,,2010,AMAT,1392.2,Research,52.02803,-122.73964,1360,,,,IDFdk3,,,,,,,,,,
EP1392-WHRS,Whitehorse ResFor YK,,2011,AMAT,1392.37,Research,60.85,-135.21667,640,,,,.,,,,,,,,,,
EP1392-WIND,Wind River WA,,2011,AMAT,1392.32,Research,45.79845,-121.92897,350,,,,.,,,,,,,,,,
EP1392-WINN,Winnifred Creek,,2009,AMAT,1392.03,Research,49.97122,-118.51786,1680,,,,ESSFwc1,,,,,,,,,,
-744680000,,S-Sx96Bl4-12-3.8-15/O-1133(05),1992,RESULTS,,Operational,53.15680517,-120.3836334,,,,SBSvk,SBSvk,ESSFmm1/01,,,,,,,1992-06-01,6,
-713830000,,S-Se99Bl1-4-0.6-15/O-1025(93),1992,RESULTS,,Operational,51.02337469,-118.3087093,,,,ICHvk1,ICHvk1,ESSFvc/01,,,,,,,1992-06-01,6,
-677730000,,S-Pl80Fdi20-1-0.1-18/O-143(05),1993,RESULTS,,Operational,50.76129397,-119.8212999,,,,IDFmw2,IDFmw2,IDFmw2/02,,,,,,,1993-05-01,5,
-677540000,,S-Sx76At14Ep10-7-0.9-27/E-840(94),1987,RESULTS,,Operational,51.28279812,-119.9383359,,,,IDFmw2,IDFmw2,ICHmw3,,,,,,,1987-04-01,4,
-677200000,,S-Fdi49Pli46Sx3Cw2-13-3.6-18/E-1200(02),1986,RESULTS,,Operational,51.21024745,-119.9526782,,,,ICHmk2,ICHmk2,ICHmk2/01,,,,,,,1986-05-01,5,
-588550000,,S-Pli79Sx11Fdi10-24-7.9-19/C-1033(15),1988,RESULTS,,Operational,54.03978459,-125.5039034,,,,SBSdk,SBSdk,SBSmc2/01,,,,,,,1988-06-01,6,
-578390000,,S-Sx85Pli15-29-9.0-19/E-290(09),1966,RESULTS,,Operational,54.27953591,-125.2150862,,,,SBSmc2,SBSmc2,SBSdk/07,,,,,,,1966-01-01,1,
-630820000,,S-Pli100-14-3.5-21/E-1160(06),1988,RESULTS,,Operational,53.63379363,-123.5924704,,,,SBSmc2,SBSmc2,SBSdw3/01,,,,,,,1988-05-01,5,
-588210000,,S-Pli52Sx48-26-8.3-20/S-927(15),1991,RESULTS,,Operational,54.04568965,-125.4828544,,,,SBSdk,SBSdk,SBSdk/01,,,,,,,1991-05-01,5,
-588370000,,S-Pli43Fdi39Sx18-17-3.1-23/I-1080(07),1988,RESULTS,,Operational,54.05322854,-125.4383919,,,,SBSdk,SBSdk,SBSdk/01,,,,,,,1988-05-01,5,
-590520000,,S-Pli59Sx41-29-11.6-15/E-900(17),1983,RESULTS,,Operational,54.33432937,-125.532374,,,,SBSmc2,SBSmc2,SBSmc2/03,,,,,,,1983-05-01,5,
-588130000,,S-Pli91Sx9-28-7.9-18/C-920(15),1988,RESULTS,,Operational,54.06293161,-125.4464702,,,,SBSdk,SBSdk,SBSdk/01,,,,,,,1988-05-01,5,
-551190000,,S-Plc92Py8-8-4.3-14/E-236(00),1994,RESULTS,,Operational,50.46834231,-122.9750736,,,,CWHds1,CWHds1,CWHds1/03,,,,,,,1994-04-22,4,
-545650000,,S-Py81Sx9Pli7Fdi3-20-8.3-18/E-782(12),1989,RESULTS,,Operational,50.91151407,-119.5651062,,,,IDFmw2,IDFmw2,IDFmw2/01,,,,,,,1989-05-01,5,
-539780000,,S-Sx60Cw20Hw10Bl10-11-1.7-24/E-1104(99),1983,RESULTS,,Operational,51.00885381,-118.5518428,,,,ESSFwc2,ESSFwc2,ESSFvc/01,,,,,,,1983-06-01,6,
-533460000,,S-Se94Bl6-18-2.7-15/E-1000(92),1976,RESULTS,,Operational,51.10385437,-119.0985722,,,,ESSFwc2,ESSFwc2,ESSFwc2/01,,,,,,,1976-01-01,1,
-529750000,,S-Bl34Se33Hw33-88-15.0-21/E-945(92),1975,RESULTS,,Operational,51.19048586,-119.3826535,,,,ESSFwc2,ESSFwc2,ICHwk1/05,,,,,,,1975-01-01,1,
-527900000,,S-Sx70Pli30-15-3.5-17/E-889(90),1966,RESULTS,,Operational,54.5130278,-126.4920823,,,,SBSdk,SBSdk,SBSmc2/01,,,,,,,1966-05-01,5,
-520820000,,S-Sx51Bl49-27-10.0-22/I-1000(10),1978,RESULTS,,Operational,50.0733834,-117.6597795,,,,ESSFwc4,ESSFwc4,ICHmw2/05,,,,,,,1978-01-01,1,
-484980000,,S-Fdc81Cw8Pw6Py3Bg2-22-15.4-28/E-743(11),1987,RESULTS,,Operational,48.65843942,-123.6738632,,,,CWHxm1,CWHxm1,CDFb,,,,,,,1987-04-01,4,
-456530000,,S-Pli93Sx7-8-1.6-19/E-1165(00),1993,RESULTS,,Operational,52.64668034,-123.4591584,,,,SBPSdc,SBPSdc,SBPSmk/01,,,,,,,1993-05-01,5,
-479290000,,S-Pli81Sx19-11-2.4-20/E-960(05),1993,RESULTS,,Operational,52.86808021,-123.0416626,,,,SBPSdc,SBPSdc,SBPSmk/05,,,,,,,1993-05-01,5,
-424360000,,S-Pli50Py20Lw10Fdi10Act10-6-1.5-25/O-1000(03),1996,RESULTS,,Operational,49.1078875,-118.5147518,,,,ICHmk1,ICHmk1,ICHmk1/04,,,,,,,1996-05-17,5,
-411220000,,S-Pw83Pl17-6-1.9-24/E-820(00),1994,RESULTS,,Operational,49.43532727,-124.7044395,,,,CDFmm,CDFmm,CDFmm/01,,,,,,,1994-03-09,3,
-402920000,,S-Pli46Bl29Cw21Sx4-16-6.0-25/I-1120(05),1989,RESULTS,,Operational,55.41492654,-128.1361107,,,,ICHmc2,ICHmc2,ICHmc2/53,,,,,,,1989-06-01,6,
-397410000,,S-Pli47Sx36Bl11Hw6-9-2.6-18/O-1055(95),1987,RESULTS,,Operational,55.12984822,-127.308924,,,,ICHmc1,ICHmc1,,,,,,,,1987-05-01,5,
-403710000,,S-Act80At10Hw10-45-18.0-24/O-2000(01),1988,RESULTS,,Operational,55.60237209,-127.9024371,,,,ICHmc1,ICHmc1,ICHmc2/54,,,,,,,1988-06-01,6,
-401870000,,S-Hw67Sx13Fdi10Pli6Bl4-15-4.3-16/E-1114(03),1989,RESULTS,,Operational,55.34257908,-127.5592132,,,,ICHmc1,ICHmc1,ICHmc2/01,,,,,,,1989-05-01,5,
-358550000,,S-Yc66Hw20Ba14-14-1.9-28/E-768(07),1993,RESULTS,,Operational,50.09402592,-125.7552713,,,,CWHmm1,CWHmm1,CWHb4/06,,,,,,,1993-09-23,9,
-327610000,,S-Bl50Sx46Pli4-27-5.4-12/E-1000(17),1980,RESULTS,,Operational,49.11735301,-116.9077582,,,,ESSFwm3,ESSFwm3,ESSFwc1/02,,,,,,,1980-01-01,1,
-316710000,,S-Pli100-23-7.0-21/E-1300(10),1987,RESULTS,,Operational,49.05391895,-115.9377258,,,,ICHdm,ICHdm,MSdk/04,,,,,,,1987-04-01,4,
-284440000,,S-Fdi60Cw30Pli10-15-2.5-15/O-238(93),1982,RESULTS,,Operational,50.59118512,-122.4706559,,,,IDFww1,IDFww1,IDFww/04,,,,,,,1982-01-01,1,
-280200000,,S-Fdi96Cw4-13-4.5-20/E-455(97),1989,RESULTS,,Operational,50.62382726,-122.456821,,,,IDFww1,IDFww1,IDFmw1/01,,,,,,,1989-05-01,5,
-274490000,,S-Ba68Bn24Hm8-9-2.2-16/O-840(03),1993,RESULTS,,Operational,49.11718891,-121.7586892,,,,MHmm2,MHmm2,MHmm2/01,,,,,,,1993-09-22,9,
-297930000,,S-Ep50At30Sx20-27-10.0-18/E-1(11),1986,RESULTS,,Operational,55.80602619,-123.7024412,,,,SBSmk2,SBSmk2,SBSmk2/01,,,,,,,1986-06-01,6,
-319170000,,S-At70Sx30-28-9.0-18/E-1(11),1974,RESULTS,,Operational,55.60995282,-123.4328145,,,,SBSmk2,SBSmk2,SBSmk2/01,,,,,,,1974-06-01,6,
-274520000,,S-Fdc74Cw18Hw8-9-3.8-24/O-616(01),1992,RESULTS,,Operational,49.49516292,-121.3953323,,,,CWHds1,CWHds1,CWHms1/04,,,,,,,1992-10-01,10,
-273000000,,S-Ba62Sx19Yc13Hm6-12-1.5-12/O-767(06),1991,RESULTS,,Operational,49.73690339,-121.585407,,,,MHmm2,MHmm2,MHmm2/02,,,,,,,1991-10-01,10,
-252010000,,S-Hw60Ba40-5-0.5-18/E-500(94),1972,RESULTS,,Operational,49.18451488,-121.418914,,,,MHmm2,MHmm2,CWHms1,,,,,,,1972-01-01,1,
-230540000,,S-Sx84Pw8Pli4Fdi4-8-0.5-24/O-960(93),1993,RESULTS,,Operational,51.58669242,-117.1935738,,,,ESSFwc2,ESSFwc2,ICHmw1/01,,,,,,,1993-06-01,6,
-226030000,,S-Sx59Bl41-14-2.6-18/E-1088(00),1993,RESULTS,,Operational,56.35999929,-129.2966775,,,,ICHvc,ICHvc,ICHvc/05,,,,,,,1993-08-01,8,
-245330000,,S-Sx95Bl5-16-4.7-18/O-1167(06),1988,RESULTS,,Operational,51.5840858,-117.546637,,,,ESSFwc2,ESSFwc2,ESSFwm/04,,,,,,,1988-08-01,8,
-244210000,,S-Sx47Bl42Fd10Cw1-16-4.1-18/O-1138(05),1988,RESULTS,,Operational,51.22940354,-116.9949486,,,,ESSFmm3,ESSFmm3,ICHmw1/01,,,,,,,1988-07-01,7,
-225950000,,S-Bl92Hm4Hw4-11-2.1-18/E-1065(00),1989,RESULTS,,Operational,56.22624261,-129.3220801,,,,ICHvc,ICHvc,ICHvc1/01,,,,,,,1989-08-01,8,
-213890000,,S-Pli86Sx11Fdi3-14-4.0-21/E-985(05),1992,RESULTS,,Operational,54.62247763,-124.507003,,,,SBSdk,SBSdk,SBSdk/01,,,,,,,1992-06-01,6,
-157910000,,S-Pli60Fdi22Sx15At3-3-0.5-22/E-1291(12),1984,RESULTS,,Operational,51.99306196,-121.1657504,,,,SBSdw1,SBSdw1,SBSdw1/01,,,,,,,1984-06-01,6,
-128200000,,S-Pli99Sx1-15-5.5-18/E-(07),1989,RESULTS,,Operational,53.5039232,-123.9140906,,,,SBSmc2,SBSmc2,SBSmc2/01,,,,,,,1989-06-01,6,
-124210000,,S-Sx86Pli14-21-5.6-18/E-650(08),1990,RESULTS,,Operational,53.43230758,-121.879932,,,,SBSwk1,SBSwk1,SBSwk1/09,,,,,,,1990-05-01,5,
-120180000,,S-Pli100-20-5.8-21/E-700(07),1980,RESULTS,,Operational,53.76955585,-121.8382148,,,,SBSwk1,SBSwk1,SBSwk1,,,,,,,1980-05-01,5,
-142790000,,S-At100-18-7.0-16/A-1138(06),1994,RESULTS,,Operational,51.33250073,-121.15179,,,,IDFdk3,IDFdk3,IDFdk3/06,,,,,,,1994-05-04,5,
-138390000,,S-Sx40Pli40Fdi20-17-6.0-18/E-933(08),1990,RESULTS,,Operational,53.50873197,-121.7364485,,,,ESSFwk1,ESSFwk1,SBSvk,,,,,,,1990-07-01,7,
-102680000,,S-Fdi77Lw14Py9-100-18.2-16/I-452(94),1993,RESULTS,,Operational,49.17247001,-119.4098186,,,,IDFxh1,IDFxh1,IDFxh1/01,,,,,,,1993-05-02,5,
-98960000,,S-Pli60Lw20Fdi10At10-30-12.5-19/E-950(10),1983,RESULTS,,Operational,50.03133072,-119.5898398,,,,MSdm2,MSdm2,MSdm2/04,,,,,,,1983-06-01,6,
-82130000,,S-Pli60Bl30Se10-14-3.2-12/E-1589(93),1980,RESULTS,,Operational,49.52447048,-119.3396554,,,,ESSFdc2,ESSFdc2,ESSFdc1/05,,,,,,,1980-01-01,1,
-75640000,,S-Fdi52Lw29Py19-15-4.0-15/I-733(01),1988,RESULTS,,Operational,49.17253052,-119.4215418,,,,IDFxh1,IDFxh1,IDFxh1/01,,,,,,,1988-05-01,5,
-350540000,,S-Hw74Cw26-12-4.9-28/E-900(09),1994,RESULTS,,Operational,50.17798961,-127.4467438,,,,CWHvh1,CWHvh1,CWHb1/03,,,,,,,1994-03-30,3,
